College Name,Avg Sentiment,Avg Rating,Review Count
Sagi Ramakrishnam Raju Engineering College - [SRKR ],0.5297666666666667,8.4,3
University of Petroleum and Energy Studies - [UPES],0.7223375,8.3875,8
Vivekanandha College of Engineering for Women - [VCEW],0.8916657142857143,8.377142857142857,35
College of Engineering and Management - [CEM] Punnapara,0.925425,8.375,4
National Institute of Technology - [NIT],0.8135301886792453,8.372641509433961,106
VIT Bhopal University,0.8900399999999999,8.370000000000001,10
Visvesvaraya National Institute of Technology - [VNIT],0.61525,8.366666666666667,6
MKSSS's Cummins College of Engineering for Women,0.9480666666666666,8.366666666666667,3
Maulana Azad National Institute of Technology  - [MANIT],0.8816,8.366666666666665,3
Vishwakarma Institute of Technology,0.9179571428571428,8.357142857142858,7
Veer Surendra Sai University of Technology - [VSSUT],0.910775,8.35,4
Shri Ramdeobaba College of Engineering and Management - [RCOEM],0.638375,8.35,4
Sri Venkateswara College of Engineering - [SVCE],0.82715,8.35,2
GIET University - [GIET],0.917825,8.35,4
"Bharath Institute of Higher Education and Research, College of Management",0.8297,8.35,2
Coochbehar Government Engineering College,0.7595000000000001,8.35,2
JSS Science and Technology University -[JSSSTU],0.94785,8.35,2
Veermata Jijabai Technological Institute - [VJTI],0.7463142857142857,8.342857142857143,7
Manipal Institute of Technology - [MIT],0.69153,8.34,10
Deenbandhu Chhotu Ram University of Science and Technology - [DCRUST],0.9573666666666666,8.333333333333334,3
Technology Education and Research Integrated Institute - [TERII],0.9670749999999999,8.325,4
University of Engineering and Management - [UEM],0.904276923076923,8.323076923076924,13
IIT Kharagpur - Indian Institute of Technology - [IITKGP],0.8703833333333333,8.316666666666666,6
Army Institute of Technology - [AIT],0.9221538461538461,8.315384615384614,13
RNS Institute of Technology - [RNSIT],0.7735857142857142,8.314285714285715,7
Devang Patel Institute of Advance Technology and Research - [DEPSTAR],0.7003,8.3,1
Netaji Subhash Engineering College - [NSEC],0.969,8.3,6
Bharat Institute of Engineering and Technology - [BIET] Ibrahimpatnam,0.8807,8.3,1
"Raja College of Engineering and Technology, Veerapanjan",0.8126,8.3,1
Aditya Silver Oak Institute of Technology - [ASOIT],0.9022,8.3,1
BS Anangpuria Institute of Technology and Management,0.9442,8.3,1
Saharsa College of Engineering - [SCE],0.9864,8.3,1
Vasavi College of Engineering,0.5927,8.3,1
Varuvan Vadivelan Institute of Technology - [VVIT],0.961,8.3,1
Rajkiya Engineering College [REC],0.9612,8.3,1
"University School of Information, Communication  and Technology - [USICT]",0.8885,8.3,1
